Diameter (ft),Rings,Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,U.S. Tons Wheat,Metric Tons Wheat,Low Floor,High Floor,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
42,9,7-04209,"32,389",855.6,776.2,912.6,827.9,"31,056","30,600","24'2""",7.38,"35'10""",10.91,12.80159959,28.87645356,Narrow,Flat
42,10,7-04210,"35,499",937.7,850.7,"1,000.20",907.4,"34,166","33,711","26'10""",8.17,"38'6""",11.73,12.80159959,29.08195834,Narrow,Flat
42,11,7-04211,"38,609","1,019.90",925.2,"1,087.90",986.9,"37,276","36,821","29'6""",8.99,"41'2""",12.56,12.80159959,29.15027847,Narrow,Flat
42,12,7-04212,"41,719","1,102.00",999.8,"1,175.50","1,066.40","40,386","39,931","32'2""",9.81,"43'10""",13.35,12.80159959,28.94504587,Narrow,Flat
42,13,7-04213,"44,829","1,184.20","1,074.30","1,263.10","1,145.90","43,497","43,041","34'10""",10.61,"46'6""",14.17,12.80159959,29.08195834,Narrow,Flat
48,4,7-04804,"22,802",602.3,546.4,642.5,582.8,"21,060","20,465","10'10""",3.29,"24'2""",7.38,14.63039953,29.20998414,Narrow,Flat
48,5,7-04805,"26,864",709.6,643.8,756.9,686.7,"25,123","24,528","13'6""",4.11,"26'11""",8.2,14.63039953,29.20998414,Narrow,Flat
48,6,7-04806,"30,927",817,741.1,871.4,790.5,"29,186","28,591","16'2""",4.94,"29'6""",8.99,14.63039953,28.9707446,Narrow,Flat
48,7,7-04807,"34,990",924.3,838.5,985.9,894.4,"33,249","32,654","18'10""",5.73,"32'2""",9.81,14.63039953,29.15027847,Narrow,Flat
48,8,7-04808,"39,053","1,031.60",935.9,"1,100.40",998.2,"37,312","36,717","21'6""",6.55,"34'11""",10.64,14.63039953,29.20998414,Narrow,Flat
48,9,7-04809,"43,116","1,138.90","1,033.20","1,214.80","1,102.10","41,375","40,779","24'2""",7.38,"37'6""",11.43,14.63039953,28.9707446,Narrow,Flat
48,10,7-04810,"47,179","1,246.20","1,130.60","1,329.30","1,206.00","45,437","44,842","26'10""",8.17,"40'2""",12.25,14.63039953,29.15027847,Narrow,Flat
48,11,7-04811,"51,241","1,353.60","1,227.90","1,443.80","1,309.80","49,500","48,905","29'6""",8.99,"42'11""",13.08,14.63039953,29.20998414,Narrow,Flat
48,12,7-04812,"55,304","1,460.90","1,325.30","1,558.30","1,413.70","53,563","52,968","32'2""",9.81,"45'6""",13.87,14.63039953,29.03065869,Narrow,Flat
48,13,7-04813,"59,367","1,568.20","1,422.70","1,672.70","1,517.50","57,626","57,031","34'10""",10.61,"48'2""",14.69,14.63039953,29.15027847,Narrow,Flat
54,4,75-05404,"29,880",789.3,716.1,841.9,763.8,"27,677","26,923","10'10""",3.29,"24'10""",7.56,16.45919947,27.42293747,Narrow,Flat
54,5,75-05405,"35,023",925.1,839.3,986.8,895.2,"32,819","32,066","13'6""",4.11,"27'6""",8.38,16.45919947,27.42293747,Narrow,Flat
54,6,75-05406,"40,165","1,061.00",962.5,"1,131.70","1,026.70","37,961","37,208","16'2""",4.94,"30'2""",9.2,16.45919947,27.36805614,Narrow,Flat
